phase,sl,ref,tp,hold_h,score,seconds,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits
refine,0.0,p0,0.025,6.0,-294.24362683714605,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,p0,360,575.6373162853971,-94.24362683714604,152.72041464275054,9242,60.87426963860636,0.4336109392245842,96.35820367496329,0.9026691737458622,23613.763410651518,317.42555723869293,360.0,360.0,2057,0,7184
refine,0.0,p0,0.025,12.0,-119.8540316981665,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,p0,720,1656.959039904592,-83.43040960095408,152.72041464275054,5308,66.74830444611906,0.6561044566002183,91.01299823788156,0.9258843916884274,22618.19943637347,552.6840617935192,720.0,720.0,2073,0,3234
refine,0.0,p0,0.025,24.0,-114.1323564049114,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,p0,1440,2172.890886420981,-78.27109113579019,152.72041464275054,3341,72.82250823106854,0.8538518587321245,89.579990295421,0.9386983386088548,20444.061761898716,878.0745285842562,970.0,1440.0,1955,0,1385
refine,0.0,p0,0.025,48.0,-76.85280841127937,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,p0,2880,5504.85823088214,-44.951417691178605,152.72041464275054,2194,78.8514129443938,1.022420808538242,79.64204991632606,0.971303399652821,22153.193194017178,1337.1226071103008,908.5,2880.0,1600,0,593
refine,0.0,p0,0.025,72.0,-84.35757611267155,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,p0,4320,4824.091137934918,-51.759088620650815,152.72041464275054,1811,82.21976808393153,1.0946361144645786,81.36122669066293,0.9625072195505489,17442.66508536668,1619.9044726670347,874.0,4320.0,1444,0,366
refine,0.0,wap,0.012,6.0,-299.28974679097,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,360,71.02532090299957,-99.28974679097,152.72041464275054,13483,70.54068085737596,0.3634876765310173,99.4077610960432,0.8356436855311666,17179.663098096345,217.58117629607653,249.0,360.0,7856,0,5626
refine,0.0,wap,0.012,12.0,-298.2014073860492,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,720,179.85926139507995,-98.2014073860492,152.72041464275054,9165,80.20731042007637,0.47375483273677027,98.75271549209516,0.8582639663264107,17357.432937385638,320.0924168030551,212.0,720.0,6823,0,2341
refine,0.0,wap,0.012,24.0,-295.39407181458614,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,1440,460.59281854138305,-95.39407181458617,152.72041464275054,6721,87.08525517036155,0.5427495426445436,97.50912273421696,0.8890013144935491,20220.68846769191,436.4896592768933,184.0,1440.0,5713,0,1007
refine,0.0,wap,0.012,48.0,-120.29045519717444,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,2880,1711.4887026709964,-82.88511297329005,152.72041464275054,4876,91.81706316652995,0.5970949773322828,93.46321803236616,0.9234034284764511,24464.28727386009,601.6503281378178,180.0,2880.0,4446,0,429
refine,0.0,wap,0.012,72.0,-122.09531976932556,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,4320,1522.268280005796,-84.77731719994203,152.72041464275054,4224,93.48958333333334,0.6130066235354458,93.2371298649045,0.9024106191309341,18537.72598706802,694.5187026515151,169.0,4320.0,3940,0,283
