entry_time,exit_time,p0,avg_entry,pnl,pnl_pct,hold_bars,reason,fills
2022-01-29 20:31:00+00:00,2022-01-31 15:24:00+00:00,2622.06,2569.262255608521,95.05101221464793,0.022951025000000035,2574,take_profit,6
2022-01-31 15:25:00+00:00,2022-01-31 19:07:00+00:00,2630.84,2630.84,39.39006676710005,0.022951024999999837,223,take_profit,1
2022-01-31 19:08:00+00:00,2022-02-01 04:06:00+00:00,2695.87,2693.1846379385015,43.78446146287206,0.02295102499999994,539,take_profit,2
2022-02-01 04:07:00+00:00,2022-02-04 05:21:00+00:00,2765.5,2692.3357859607772,113.16767616555353,0.022951024999999882,4395,take_profit,7
2022-02-04 05:22:00+00:00,2022-02-04 09:53:00+00:00,2780.67,2780.67,39.75056715443111,0.022951024999999906,272,take_profit,1
2022-02-04 09:54:00+00:00,2022-02-04 15:18:00+00:00,2852.0,2816.361654667638,79.07819701832886,0.02295102500000012,325,take_profit,5
2022-02-04 15:19:00+00:00,2022-02-04 18:00:00+00:00,2893.36,2890.4779177132964,44.346275889013214,0.02295102499999995,162,take_profit,2
2022-02-04 18:01:00+00:00,2022-02-05 04:20:00+00:00,2962.81,2959.858738414898,44.436617088775165,0.022951025000000087,620,take_profit,2
2022-02-05 04:21:00+00:00,2022-02-07 05:12:00+00:00,3029.06,3016.398707050938,53.31790862633943,0.022951025000000073,2932,take_profit,3
2022-02-07 05:13:00+00:00,2022-02-07 18:03:00+00:00,3091.33,3088.25071935903,44.635760330415906,0.02295102500000001,771,take_profit,2
2022-02-07 18:04:00+00:00,2022-02-08 06:19:00+00:00,3155.83,3152.686470766566,44.7266912611351,0.022951024999999927,736,take_profit,2
2022-02-08 06:20:00+00:00,2022-02-09 14:42:00+00:00,3221.96,3136.719656096252,115.60301402562436,0.022951024999999767,1943,take_profit,7
2022-02-09 14:43:00+00:00,2022-02-10 15:41:00+00:00,3213.09,3172.939505258079,80.63189171899194,0.022951025000000118,1499,take_profit,5
2022-02-10 15:42:00+00:00,2022-02-15 10:41:00+00:00,3250.9,3035.726818365693,223.75906103212765,0.022951024999999833,6900,take_profit,10
2022-02-15 10:42:00+00:00,2022-02-15 23:39:00+00:00,3112.61,3112.61,41.16487538477236,0.022951024999999906,778,take_profit,1
2022-02-15 23:40:00+00:00,2022-02-26 00:42:00+00:00,3191.38,2786.4578767749495,370.9677341126662,0.022951024999999632,14463,take_profit,12
2022-02-26 00:43:00+00:00,2022-02-28 15:19:00+00:00,2849.27,2736.5580667193703,156.70687595612526,0.022951024999999667,3757,take_profit,8
2022-02-28 15:20:00+00:00,2022-02-28 22:32:00+00:00,2802.21,2802.21,42.20931132490318,0.022951025000000062,433,take_profit,1
2022-02-28 22:33:00+00:00,2022-03-01 00:11:00+00:00,2890.0,2889.9999999999995,42.286811081658925,0.022951024999999892,99,take_profit,1
2022-03-01 00:12:00+00:00,2022-03-01 13:47:00+00:00,2970.65,2933.5290145296,84.12369979529967,0.02295102500000001,816,take_profit,5
2022-03-01 13:48:00+00:00,2022-03-02 04:06:00+00:00,3005.69,2968.1311577201864,84.43040927422089,0.022951024999999993,859,take_profit,5
2022-03-02 04:07:00+00:00,2022-03-17 12:17:00+00:00,3031.99,2739.3179944219537,309.08119537294624,0.022951025000000087,22091,take_profit,11
2022-03-17 12:18:00+00:00,2022-03-18 15:19:00+00:00,2806.59,2803.794349501949,47.97739694102074,0.022951025000000014,1622,take_profit,2
2022-03-18 15:20:00+00:00,2022-03-18 19:50:00+00:00,2874.81,2874.81,43.329521154304985,0.022951024999999906,271,take_profit,1
2022-03-18 19:51:00+00:00,2022-03-22 03:18:00+00:00,2949.62,2912.761803590728,86.19802573478455,0.022951024999999833,4768,take_profit,5
2022-03-22 03:19:00+00:00,2022-03-24 00:13:00+00:00,3003.94,2981.6339586047484,67.4256519727951,0.02295102499999992,2695,take_profit,4
2022-03-24 00:14:00+00:00,2022-03-25 01:31:00+00:00,3073.32,3060.473702849659,58.04680477306738,0.022951024999999847,1518,take_profit,3
2022-03-25 01:32:00+00:00,2022-03-27 20:37:00+00:00,3133.05,3129.929161974881,48.59461544065789,0.022951024999999993,4026,take_profit,2
2022-03-27 20:38:00+00:00,2022-03-27 21:43:00+00:00,3216.75,3216.7500000000005,43.88694576968669,0.022951024999999972,66,take_profit,1
2022-03-27 21:44:00+00:00,2022-03-28 13:38:00+00:00,3291.61,3291.6100000000006,43.96752580084922,0.022951024999999885,955,take_profit,1
2022-03-28 13:39:00+00:00,2022-03-29 11:44:00+00:00,3372.14,3368.781003897791,48.87258634080354,0.022951024999999958,1326,take_profit,2
2022-03-29 11:45:00+00:00,2022-04-01 15:16:00+00:00,3451.37,3360.060373021677,126.31871763637082,0.02295102499999984,4532,take_profit,7
2022-04-01 15:17:00+00:00,2022-04-02 12:36:00+00:00,3448.49,3445.054951494153,49.229481982474226,0.02295102499999997,1280,take_profit,2
2022-04-02 12:37:00+00:00,2022-04-03 22:23:00+00:00,3524.14,3480.1026513605916,88.28547023032161,0.022951024999999764,2027,take_profit,5
2022-04-03 22:24:00+00:00,2022-05-11 20:55:00+00:00,3566.01,2840.2023500968485,-6839.835263817695,-0.28143928000000007,54632,stop_loss,13
2022-05-11 20:56:00+00:00,2022-05-11 21:17:00+00:00,2043.34,2043.3400000000001,32.06390970097368,0.02295102499999993,22,take_profit,1
